response_id,prompt_id,prompt_image,response_image_1,response_image_2,response_image_3,response_image_4,response_image_5,#llm_model,#temperature,#date_run,#llm_provider,#prompt_run_by
7,1,prompt_1.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_1_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 11:11:46,openai,Artur
8,1,prompt_1.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_1_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 11:16:59,openai,Artur
9,1,prompt_1.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_1_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:19:16,mistral,Artur
10,1,prompt_1.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_1_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:19:24,gemini,Artur
11,1,prompt_1.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_1_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 11:19:37,openai,Artur
12,2,prompt_2.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_2_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:20:13,mistral,Artur
13,2,prompt_2.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_2_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:20:23,gemini,Artur
14,2,prompt_2.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_2_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 11:20:41,openai,Artur
15,3,prompt_3.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_3_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:21:25,mistral,Artur
16,3,prompt_3.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_3_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:21:37,gemini,Artur
17,3,prompt_3.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_3_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 11:21:59,openai,Artur
18,4,prompt_4.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_4_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:22:33,mistral,Artur
19,4,prompt_4.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_4_run_0_temp_1.0_model_gemini-2.0-flash-001_chat.png,,,,,gemini/gemini-2.0-flash-001,1.0,2025-05-04 11:22:44,gemini,Artur
20,4,prompt_4.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_4_run_0_temp_1.0_model_gpt-4.1_chat.png,,,,,openai/gpt-4.1,1.0,2025-05-04 11:22:55,openai,Artur
21,5,prompt_5.png,..\outputs\zooniverse_subject_set_artur_20250504_temp1.0\prompt_5_run_0_temp_1.0_model_mistral-large-2411_chat.png,,,,,mistral/mistral-large-2411,1.0,2025-05-04 11:23:32,mistral,Artur
