subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason,created_at,updated_at
108110097,30120,,127391,"{""#date_run"":""2025-04-13"",""prompt_id"":""6"",""#llm_model"":""claude_3_haiku"",""response_id"":""16"",""#temperature"":""0"",""prompt_image"":""prompt.png"",""#llm_provider"":""duck.ai"",""#prompt_run_by"":""artur"",""response_image_1"":""claude_3_haiku_response.png"",""response_image_2"":""""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/18b0e822-15bd-4ae1-a058-2a9c89fb4b40.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/36fe1c57-abbf-41c2-b93f-24f613d152b7.png""}",0,,,2025-04-13 19:15:03 UTC,2025-04-13 19:15:03 UTC
108110098,30120,,127391,"{""#date_run"":""2025-04-13"",""prompt_id"":""6"",""#llm_model"":""gpt_o3_mini"",""response_id"":""17"",""#temperature"":""0"",""prompt_image"":""prompt.png"",""#llm_provider"":""duck.ai"",""#prompt_run_by"":""artur"",""response_image_1"":""gpt_o3_mini_response.png"",""response_image_2"":""""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/c12b8b2d-f22b-4d0c-af5b-e1d235421868.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/feda51a3-827f-49ba-bc2e-70addfc491de.png""}",0,,,2025-04-13 19:15:04 UTC,2025-04-13 19:15:04 UTC
108110099,30120,,127391,"{""#date_run"":""2025-04-13"",""prompt_id"":""6"",""#llm_model"":""gpt_o4_mini"",""response_id"":""18"",""#temperature"":""0"",""prompt_image"":""prompt.png"",""#llm_provider"":""duck.ai"",""#prompt_run_by"":""artur"",""response_image_1"":""gpt_o4_mini_response.png"",""response_image_2"":""""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/a739be57-9cda-4f8c-9ede-f77123225172.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/aad74942-b3d3-4cfd-a87c-77a04185a083.png""}",0,,,2025-04-13 19:15:04 UTC,2025-04-13 19:15:04 UTC
108110100,30120,,127391,"{""#date_run"":""2025-04-13"",""prompt_id"":""6"",""#llm_model"":""llama_3.3_70b"",""response_id"":""19"",""#temperature"":""0"",""prompt_image"":""prompt.png"",""#llm_provider"":""duck.ai"",""#prompt_run_by"":""artur"",""response_image_1"":""llama_3.3_70b_response.png"",""response_image_2"":""""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/75906fc5-7703-413e-9a4e-7b39c9d38d5a.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/9e27a522-d8ac-4238-a9ae-9bbd30bc3f63.png""}",0,,,2025-04-13 19:15:05 UTC,2025-04-13 19:15:05 UTC
108110101,30120,,127391,"{""#date_run"":""2025-04-13"",""prompt_id"":""6"",""#llm_model"":""mistral_small_3"",""response_id"":""20"",""#temperature"":""0"",""prompt_image"":""prompt.png"",""#llm_provider"":""duck.ai"",""#prompt_run_by"":""artur"",""response_image_1"":""mistral_small_3_response.png"",""response_image_2"":""""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/22cbb890-fe36-480e-95b0-9e30f954bc52.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/0c84a4bc-e240-4b5a-a2d8-f3442c5eaac6.png""}",0,,,2025-04-13 19:15:05 UTC,2025-04-13 19:15:05 UTC
108110127,30120,,127392,"{""#date_run"":""2025-04-13"",""prompt_id"":""5"",""#llm_model"":""claude_3_haiku"",""image_path"":""claude_3_haiku_response.png"",""image_path2"":"""",""response_id"":""11"",""#temperature"":""0"",""prompt_image"":""prompt.png"",""#llm_provider"":""duck.ai"",""#prompt_run_by"":""artur""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/b0c0143f-4733-4322-934d-43a87e5dfe14.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/f80f28e1-944c-466c-bdc1-b2c3064a2391.png""}",0,,,2025-04-13 19:19:34 UTC,2025-04-13 19:19:34 UTC
108110128,30120,,127392,"{""#date_run"":""2025-04-13"",""prompt_id"":""5"",""#llm_model"":""gpt_o3_mini"",""image_path"":""gpt_o3_mini_response.png"",""image_path2"":"""",""response_id"":""12"",""#temperature"":""0"",""prompt_image"":""prompt.png"",""#llm_provider"":""duck.ai"",""#prompt_run_by"":""artur""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/44d5d48c-1662-4dbc-89b1-5ea9d4fbba38.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/e390ce99-b688-483f-8682-b1169718fec7.png""}",0,,,2025-04-13 19:19:34 UTC,2025-04-13 19:19:34 UTC
108110129,30120,,127392,"{""#date_run"":""2025-04-13"",""prompt_id"":""5"",""#llm_model"":""gpt_o4_mini"",""image_path"":""gpt_o4_mini_response.png"",""image_path2"":"""",""response_id"":""13"",""#temperature"":""0"",""prompt_image"":""prompt.png"",""#llm_provider"":""duck.ai"",""#prompt_run_by"":""artur""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/4e12623c-5b70-4141-ad6d-fd5df343d8d5.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/b268b61a-40cc-4191-8c1c-209be46292f4.png""}",0,,,2025-04-13 19:19:35 UTC,2025-04-13 19:19:35 UTC
108110130,30120,,127392,"{""#date_run"":""2025-04-13"",""prompt_id"":""5"",""#llm_model"":""llama_3.3_70b"",""image_path"":""llama_3.3_70b_response.png"",""image_path2"":"""",""response_id"":""14"",""#temperature"":""0"",""prompt_image"":""prompt.png"",""#llm_provider"":""duck.ai"",""#prompt_run_by"":""artur""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/55d5c967-6c97-4349-bae8-a38f05f751c5.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/d1769b6f-970a-479c-ba6a-1b1c33b61731.png""}",0,,,2025-04-13 19:19:35 UTC,2025-04-13 19:19:35 UTC
108110131,30120,,127392,"{""#date_run"":""2025-04-13"",""prompt_id"":""5"",""#llm_model"":""mistral_small_3"",""image_path"":""mistral_small_3_response.png"",""image_path2"":"""",""response_id"":""15"",""#temperature"":""0"",""prompt_image"":""prompt.png"",""#llm_provider"":""duck.ai"",""#prompt_run_by"":""artur""}","{""0"":""https://panoptes-uploads.zooniverse.org/subject_location/5f525608-61e3-4200-9e83-872ef99c16cf.png"",""1"":""https://panoptes-uploads.zooniverse.org/subject_location/832448b2-bcc7-4e4c-b2a2-aa2e4ee56638.png""}",0,,,2025-04-13 19:19:36 UTC,2025-04-13 19:19:36 UTC
