,accuracy,accuracy,explanation,explanation,mean_acc_expl
,median,sem,median,sem,
#llm_model,,,,,
claude-3.7-sonnet,2.500,0.214,3.000,0.198,1.357
deepseek-r1,2.000,0.233,2.000,0.239,1.120
gemini-2.0-flash,3.000,0.297,3.000,0.351,1.675
google-gemma3,2.000,0.309,3.000,0.167,1.155
llama4-maverick,2.500,0.287,3.000,0.203,1.393
llama4-scout,3.000,0.131,3.000,0.207,1.604
microsoft-phi4,3.000,0.202,3.000,0.155,1.601
mistral-large,2.500,0.198,3.000,0.182,1.349
nova-premier-v1,3.000,0.223,3.000,0.194,1.612
openai-gpt-4.1,3.000,0.131,3.000,0.168,1.584
qwen3,3.000,0.256,3.000,0.232,1.628
