classification_id,user_id,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,annotations,subject_data,subject_ids
637061162,2855607,28845,May Survey,1.1,2025-05-06 17:41:44 UTC,,,"[{""task"":""T1"",""task_label"":""Please draw a box around all the citations in the document\n(press continue only if there are no citations. Some questions do not request citations)"",""value"":[]},{""task"":""T12"",""task_label"":""Does the answer contain any incorrect or misleading information?"",""value"":""No""},{""task"":""T2"",""task_label"":""Scientific accuracy\nHow scientifically accurate is this response - on a scale from 1-4? "",""value"":""3 - good""},{""task"":""T7"",""value"":""Correct answer, and good explanation"",""task_label"":""Your comments on How scientifically accurate is this response (optional)""},{""task"":""T3"",""task_label"":""How well explained is this response?\n\nEvaluate this independent of whether the citations are correct"",""value"":""3 - good""},{""task"":""T8"",""value"":""Clear explanation"",""task_label"":""Your comments on How well explained is this response? (optional)""},{""task"":""T4"",""task_label"":""Does the response follow the expected format?"",""value"":""Yes""},{""task"":""T9"",""value"":"""",""task_label"":""Your comments on Does the response follow the expected format?(optional)""},{""task"":""T6"",""task_label"":""Does the response contain any harmful, derogatory, or unethical content other than incorrect references?"",""value"":""No""},{""task"":""T10"",""value"":"""",""task_label"":""Your comment on Does the response follow the expected format? (optional)""},{""task"":""T11"",""value"":"""",""task_label"":""Any other comments (optional)""}]","{""109220415"":{""retired"":null,""#date_run"":""2025-05-05 09:55:38"",""prompt_id"":""1"",""#llm_model"":""mistral/mistral-large-2411"",""response_id"":""1"",""#temperature"":""0.0"",""#llm_provider"":""mistral"",""#prompt_run_by"":""Artur""}}",109220415
637477134,2855607,28845,May Survey,1.1,2025-05-08 06:33:22 UTC,,,"[{""task"":""T1"",""task_label"":""Please draw a box around all the citations in the document\n(press continue only if there are no citations. Some questions do not request citations)"",""value"":[]},{""task"":""T12"",""task_label"":""Does the answer contain any incorrect or misleading information?"",""value"":""No""},{""task"":""T2"",""task_label"":""Scientific accuracy\nHow scientifically accurate is this response - on a scale from 1-4? "",""value"":""3 - good""},{""task"":""T7"",""value"":"""",""task_label"":""Your comments on How scientifically accurate is this response (optional)""},{""task"":""T3"",""task_label"":""How well explained is this response?\n\nEvaluate this independent of whether the citations are correct"",""value"":""3 - good""},{""task"":""T8"",""value"":"""",""task_label"":""Your comments on How well explained is this response? (optional)""},{""task"":""T4"",""task_label"":""Does the response follow the expected format?"",""value"":""Yes""},{""task"":""T9"",""value"":""Fits within 100 words"",""task_label"":""Your comments on Does the response follow the expected format?(optional)""},{""task"":""T6"",""task_label"":""Does the response contain any harmful, derogatory, or unethical content other than incorrect references?"",""value"":""No""},{""task"":""T10"",""value"":"""",""task_label"":""Your comment on Does the response follow the expected format? (optional)""},{""task"":""T11"",""value"":"""",""task_label"":""Any other comments (optional)""}]","{""109220647"":{""retired"":null,""#date_run"":""2025-05-05 10:01:37"",""prompt_id"":""6"",""#llm_model"":""mistral/mistral-large-2411"",""response_id"":""16"",""#temperature"":""0.0"",""#llm_provider"":""mistral"",""#prompt_run_by"":""Artur""}}",109220647
637917050,,28845,May Survey,1.1,2025-05-09 17:37:09 UTC,,,"[{""task"":""T1"",""task_label"":""Please draw a box around all the citations in the document\n(press continue only if there are no citations. Some questions do not request citations)"",""value"":[]},{""task"":""T12"",""task_label"":""Does the answer contain any incorrect or misleading information?"",""value"":""No""},{""task"":""T2"",""task_label"":""Scientific accuracy\nHow scientifically accurate is this response - on a scale from 1-4? "",""value"":""3 - good""},{""task"":""T7"",""value"":"""",""task_label"":""Your comments on How scientifically accurate is this response (optional)""},{""task"":""T3"",""task_label"":""How well explained is this response?\n\nEvaluate this independent of whether the citations are correct"",""value"":""2 - average""},{""task"":""T8"",""value"":"""",""task_label"":""Your comments on How well explained is this response? (optional)""},{""task"":""T4"",""task_label"":""Does the response follow the expected format?"",""value"":""Yes""},{""task"":""T9"",""value"":""Inconsistent page layout"",""task_label"":""Your comments on Does the response follow the expected format?(optional)""},{""task"":""T6"",""task_label"":""Does the response contain any harmful, derogatory, or unethical content other than incorrect references?"",""value"":""No""},{""task"":""T10"",""value"":"""",""task_label"":""Your comment on Does the response follow the expected format? (optional)""},{""task"":""T11"",""value"":"""",""task_label"":""Any other comments (optional)""}]","{""109220601"":{""retired"":null,""#date_run"":""2025-05-05 10:49:34"",""prompt_id"":""24"",""#llm_model"":""openai/gpt-4.1"",""response_id"":""72"",""#temperature"":""0.0"",""#llm_provider"":""openai"",""#prompt_run_by"":""Artur""}}",109220601
638471037,,28845,May Survey,1.1,2025-05-12 12:00:44 UTC,,,"[{""task"":""T1"",""task_label"":""Please draw a box around all the citations in the document\n(press continue only if there are no citations. Some questions do not request citations)"",""value"":[]},{""task"":""T12"",""task_label"":""Does the answer contain any incorrect or misleading information?"",""value"":""Yes""},{""task"":""T2"",""task_label"":""Scientific accuracy\nHow scientifically accurate is this response - on a scale from 1-4? "",""value"":""2 - average""},{""task"":""T7"",""value"":""The reasoning make sense and the value seems adequate, but the reference does not exist"",""task_label"":""Your comments on How scientifically accurate is this response (optional)""},{""task"":""T3"",""task_label"":""How well explained is this response?\n\nEvaluate this independent of whether the citations are correct"",""value"":""3 - good""},{""task"":""T8"",""value"":"""",""task_label"":""Your comments on How well explained is this response? (optional)""},{""task"":""T4"",""task_label"":""Does the response follow the expected format?"",""value"":""Yes""},{""task"":""T9"",""value"":"""",""task_label"":""Your comments on Does the response follow the expected format?(optional)""},{""task"":""T6"",""task_label"":""Does the response contain any harmful, derogatory, or unethical content other than incorrect references?"",""value"":""No""},{""task"":""T10"",""value"":"""",""task_label"":""Your comment on Does the response follow the expected format? (optional)""},{""task"":""T11"",""value"":"""",""task_label"":""Any other comments (optional)""}]","{""109220463"":{""retired"":null,""#date_run"":""2025-05-05 10:26:39"",""prompt_id"":""13"",""#llm_model"":""mistral/mistral-large-2411"",""response_id"":""37"",""#temperature"":""0.0"",""#llm_provider"":""mistral"",""#prompt_run_by"":""Artur""}}",109220463
638481481,,28845,May Survey,1.1,2025-05-12 12:31:44 UTC,,,"[{""task"":""T1"",""task_label"":""Please draw a box around all the citations in the document\n(press continue only if there are no citations. Some questions do not request citations)"",""value"":[]},{""task"":""T12"",""task_label"":""Does the answer contain any incorrect or misleading information?"",""value"":""Yes""},{""task"":""T2"",""task_label"":""Scientific accuracy\nHow scientifically accurate is this response - on a scale from 1-4? "",""value"":""3 - good""},{""task"":""T7"",""value"":"""",""task_label"":""Your comments on How scientifically accurate is this response (optional)""},{""task"":""T3"",""task_label"":""How well explained is this response?\n\nEvaluate this independent of whether the citations are correct"",""value"":""1 - poor""},{""task"":""T8"",""value"":"""",""task_label"":""Your comments on How well explained is this response? (optional)""},{""task"":""T4"",""task_label"":""Does the response follow the expected format?"",""value"":""Yes""},{""task"":""T9"",""value"":"""",""task_label"":""Your comments on Does the response follow the expected format?(optional)""},{""task"":""T6"",""task_label"":""Does the response contain any harmful, derogatory, or unethical content other than incorrect references?"",""value"":""No""},{""task"":""T10"",""value"":"""",""task_label"":""Your comment on Does the response follow the expected format? (optional)""},{""task"":""T11"",""value"":"""",""task_label"":""Any other comments (optional)""}]","{""109220563"":{""retired"":null,""#date_run"":""2025-05-05 10:42:10"",""prompt_id"":""21"",""#llm_model"":""mistral/mistral-large-2411"",""response_id"":""61"",""#temperature"":""0.0"",""#llm_provider"":""mistral"",""#prompt_run_by"":""Artur""}}",109220563
638482043,,28845,May Survey,1.1,2025-05-12 12:33:17 UTC,,,"[{""task"":""T1"",""task_label"":""Please draw a box around all the citations in the document\n(press continue only if there are no citations. Some questions do not request citations)"",""value"":[]},{""task"":""T12"",""task_label"":""Does the answer contain any incorrect or misleading information?"",""value"":""Yes""},{""task"":""T2"",""task_label"":""Scientific accuracy\nHow scientifically accurate is this response - on a scale from 1-4? "",""value"":""1 - poor""},{""task"":""T7"",""value"":"""",""task_label"":""Your comments on How scientifically accurate is this response (optional)""},{""task"":""T3"",""task_label"":""How well explained is this response?\n\nEvaluate this independent of whether the citations are correct"",""value"":""2 - average""},{""task"":""T8"",""value"":"""",""task_label"":""Your comments on How well explained is this response? (optional)""},{""task"":""T4"",""task_label"":""Does the response follow the expected format?"",""value"":""No""},{""task"":""T9"",""value"":"""",""task_label"":""Your comments on Does the response follow the expected format?(optional)""},{""task"":""T6"",""task_label"":""Does the response contain any harmful, derogatory, or unethical content other than incorrect references?"",""value"":""No""},{""task"":""T10"",""value"":"""",""task_label"":""Your comment on Does the response follow the expected format? (optional)""},{""task"":""T11"",""value"":"""",""task_label"":""Any other comments (optional)""}]","{""109220550"":{""retired"":null,""#date_run"":""2025-05-05 10:40:36"",""prompt_id"":""20"",""#llm_model"":""mistral/mistral-large-2411"",""response_id"":""58"",""#temperature"":""0.0"",""#llm_provider"":""mistral"",""#prompt_run_by"":""Artur""}}",109220550
638482428,,28845,May Survey,1.1,2025-05-12 12:34:34 UTC,,,"[{""task"":""T1"",""task_label"":""Please draw a box around all the citations in the document\n(press continue only if there are no citations. Some questions do not request citations)"",""value"":[]},{""task"":""T12"",""task_label"":""Does the answer contain any incorrect or misleading information?"",""value"":""Yes""},{""task"":""T2"",""task_label"":""Scientific accuracy\nHow scientifically accurate is this response - on a scale from 1-4? "",""value"":""1 - poor""},{""task"":""T7"",""value"":"""",""task_label"":""Your comments on How scientifically accurate is this response (optional)""},{""task"":""T3"",""task_label"":""How well explained is this response?\n\nEvaluate this independent of whether the citations are correct"",""value"":""1 - poor""},{""task"":""T8"",""value"":"""",""task_label"":""Your comments on How well explained is this response? (optional)""},{""task"":""T4"",""task_label"":""Does the response follow the expected format?"",""value"":""No""},{""task"":""T9"",""value"":"""",""task_label"":""Your comments on Does the response follow the expected format?(optional)""},{""task"":""T6"",""task_label"":""Does the response contain any harmful, derogatory, or unethical content other than incorrect references?"",""value"":""No""},{""task"":""T10"",""value"":"""",""task_label"":""Your comment on Does the response follow the expected format? (optional)""},{""task"":""T11"",""value"":"""",""task_label"":""Any other comments (optional)""}]","{""109220529"":{""retired"":{""id"":140883870,""workflow_id"":28845,""classifications_count"":3,""created_at"":""2025-05-06T17:40:35.522Z"",""updated_at"":""2025-05-18T12:49:42.262Z"",""retired_at"":""2025-05-18T12:49:42.256Z"",""subject_id"":109220529,""retirement_reason"":""classification_count""},""#date_run"":""2025-05-04 22:43:33"",""prompt_id"":""19"",""#llm_model"":""us.meta.llama4-scout-17b-instruct-v1:0"",""response_id"":""287"",""#temperature"":""0.0"",""#llm_provider"":""bedrock"",""#prompt_run_by"":""bhabalaj""}}",109220529
638491212,2871905,28845,May Survey,1.1,2025-05-12 13:05:38 UTC,,,"[{""task"":""T1"",""task_label"":""Please draw a box around all the citations in the document\n(press continue only if there are no citations. Some questions do not request citations)"",""value"":[]},{""task"":""T12"",""task_label"":""Does the answer contain any incorrect or misleading information?"",""value"":""No""},{""task"":""T2"",""task_label"":""Scientific accuracy\nHow scientifically accurate is this response - on a scale from 1-4? "",""value"":""3 - good""},{""task"":""T7"",""value"":""response is accurate, but a notice that the preferred option might be case-/context-specific is missing"",""task_label"":""Your comments on How scientifically accurate is this response (optional)""},{""task"":""T3"",""task_label"":""How well explained is this response?\n\nEvaluate this independent of whether the citations are correct"",""value"":""3 - good""},{""task"":""T8"",""value"":""well explained, but it could have been explained, that the preferred option may be case-/context-specific"",""task_label"":""Your comments on How well explained is this response? (optional)""},{""task"":""T4"",""task_label"":""Does the response follow the expected format?"",""value"":""Yes""},{""task"":""T9"",""value"":"""",""task_label"":""Your comments on Does the response follow the expected format?(optional)""},{""task"":""T6"",""task_label"":""Does the response contain any harmful, derogatory, or unethical content other than incorrect references?"",""value"":""No""},{""task"":""T10"",""value"":"""",""task_label"":""Your comment on Does the response follow the expected format? (optional)""},{""task"":""T11"",""value"":"""",""task_label"":""Any other comments (optional)""}]","{""109220640"":{""retired"":{""id"":140884037,""workflow_id"":28845,""classifications_count"":3,""created_at"":""2025-05-06T17:41:06.071Z"",""updated_at"":""2025-05-16T12:44:44.381Z"",""retired_at"":""2025-05-16T12:44:44.376Z"",""subject_id"":109220640,""retirement_reason"":""classification_count""},""#date_run"":""2025-05-04 22:28:52"",""prompt_id"":""5"",""#llm_model"":""us.deepseek.r1-v1:0"",""response_id"":""225"",""#temperature"":""0.0"",""#llm_provider"":""bedrock"",""#prompt_run_by"":""bhabalaj""}}",109220640
638512889,2871905,28845,May Survey,1.1,2025-05-12 14:05:20 UTC,,,"[{""task"":""T1"",""task_label"":""Please draw a box around all the citations in the document\n(press continue only if there are no citations. Some questions do not request citations)"",""value"":[{""x"":478.4300537109375,""y"":931.110595703125,""tool"":1,""frame"":1,""width"":458.1318359375,""height"":45.24755859375,""details"":[{""value"":""A relevant source from this (co-)author exists, but not in this journal, volume, pages. Furthermore, the given water consumption is to high and not correct""}],""tool_label"":""Does not exist""},{""x"":404.9027099609375,""y"":1064.025390625,""tool"":1,""frame"":1,""width"":373.29266357421875,""height"":48.0755615234375,""details"":[{""value"":""relevant papers from this author exist, but not with this information (,journal, volume, pages)""}],""tool_label"":""Does not exist""},{""x"":925.25,""y"":1332.6829833984375,""tool"":1,""frame"":1,""width"":424.1961669921875,""height"":50.903564453125,""details"":[{""value"":""relevant papers from this author exist, but not with this information (,journal, volume, pages)""}],""tool_label"":""Does not exist""},{""x"":523.6776733398438,""y"":1459.9417724609375,""tool"":1,""frame"":1,""width"":520.3472290039062,""height"":56.5595703125,""details"":[{""value"":""not included in reference list, and a matching paper could not be found in scientific databases""}],""tool_label"":""Does not exist""},{""x"":744.2596435546875,""y"":1686.1798095703125,""tool"":2,""frame"":1,""width"":551.455078125,""height"":48.0755615234375,""details"":[{""value"":""reference exists, but does not specifically support the claimed number ""}],""tool_label"":""Exists, not relevant""},{""x"":79.68565368652344,""y"":1861.51416015625,""tool"":1,""frame"":1,""width"":271.4855499267578,""height"":45.24755859375,""details"":[{""value"":""Not included in reference list""}],""tool_label"":""Does not exist""},{""x"":1312.8592529296875,""y"":257.78753662109375,""tool"":2,""frame"":2,""width"":248.86181640625,""height"":48.0755615234375,""details"":[{""value"":""does not support this statement""}],""tool_label"":""Exists, not relevant""},{""x"":314.58428955078125,""y"":305.86309814453125,""tool"":1,""frame"":2,""width"":302.59326171875,""height"":39.591644287109375,""details"":[{""value"":""""}],""tool_label"":""Does not exist""},{""x"":130.7659454345703,""y"":351.1107177734375,""tool"":0,""frame"":2,""width"":1184.9213104248047,""height"":42.41961669921875,""details"":[{""value"":""only for lithium-based batteries, target for 2030""}],""tool_label"":""Correct \u0026 relevant""},{""x"":959.3624877929688,""y"":696.1235961914062,""tool"":0,""frame"":2,""width"":296.93731689453125,""height"":56.55950927734375,""details"":[{""value"":""Correct and relevant but missing in reference list.""}],""tool_label"":""Correct \u0026 relevant""},{""x"":187.325439453125,""y"":523.6171264648438,""tool"":0,""frame"":2,""width"":673.0579223632812,""height"":48.0755615234375,""details"":[{""value"":""Correct and relevant but missing in reference list""}],""tool_label"":""Correct \u0026 relevant""}]},{""task"":""T12"",""task_label"":""Does the answer contain any incorrect or misleading information?"",""value"":""Yes""},{""task"":""T2"",""task_label"":""Scientific accuracy\nHow scientifically accurate is this response - on a scale from 1-4? "",""value"":""1 - poor""},{""task"":""T7"",""value"":""Some claims and numbers are wrong and not supported by correct evidence"",""task_label"":""Your comments on How scientifically accurate is this response (optional)""},{""task"":""T3"",""task_label"":""How well explained is this response?\n\nEvaluate this independent of whether the citations are correct"",""value"":""2 - average""},{""task"":""T8"",""value"":""There seems to be a missing part between page 1 and 2. Apart from that, there is some common thread and, while wrong, the text is built using numbers and evidences "",""task_label"":""Your comments on How well explained is this response? (optional)""},{""task"":""T4"",""task_label"":""Does the response follow the expected format?"",""value"":""No""},{""task"":""T9"",""value"":""The response is not complete and some text is apperently missing between both pages"",""task_label"":""Your comments on Does the response follow the expected format?(optional)""},{""task"":""T6"",""task_label"":""Does the response contain any harmful, derogatory, or unethical content other than incorrect references?"",""value"":""No""},{""task"":""T10"",""value"":""It uses appropiate language, however, as some claims and number are completely wrong, this could lead to harmful interpretations"",""task_label"":""Your comment on Does the response follow the expected format? (optional)""},{""task"":""T11"",""value"":"""",""task_label"":""Any other comments (optional)""}]","{""109220444"":{""retired"":null,""#date_run"":""2025-05-04 22:31:05"",""prompt_id"":""11"",""#llm_model"":""us.deepseek.r1-v1:0"",""response_id"":""231"",""#temperature"":""0.0"",""#llm_provider"":""bedrock"",""#prompt_run_by"":""bhabalaj""}}",109220444
638515924,2871905,28845,May Survey,1.1,2025-05-12 14:12:45 UTC,,,"[{""task"":""T1"",""task_label"":""Please draw a box around all the citations in the document\n(press continue only if there are no citations. Some questions do not request citations)"",""value"":[{""x"":987.8692016601562,""y"":209.9850311279297,""tool"":0,""frame"":1,""width"":370.47869873046875,""height"":45.24931335449219,""details"":[{""value"":""correct and relevant, however no reference list and further information on this source is provided""}],""tool_label"":""Correct \u0026 relevant""}]},{""task"":""T12"",""task_label"":""Does the answer contain any incorrect or misleading information?"",""value"":""No""},{""task"":""T2"",""task_label"":""Scientific accuracy\nHow scientifically accurate is this response - on a scale from 1-4? "",""value"":""2 - average""},{""task"":""T7"",""value"":""Generally correct, but misses information on the assessment period of GWP methods, the +1/-1 method in various standards, seperate reporting, and influence of system boundary definition (cradle-to-gate vs c2g LCAs)"",""task_label"":""Your comments on How scientifically accurate is this response (optional)""},{""task"":""T3"",""task_label"":""How well explained is this response?\n\nEvaluate this independent of whether the citations are correct"",""value"":""2 - average""},{""task"":""T8"",""value"":""General infromation is provided, but limited information on practical modelling of biogenic C in LCA according to different standards"",""task_label"":""Your comments on How well explained is this response? (optional)""},{""task"":""T4"",""task_label"":""Does the response follow the expected format?"",""value"":""Yes""},{""task"":""T9"",""value"":"""",""task_label"":""Your comments on Does the response follow the expected format?(optional)""},{""task"":""T6"",""task_label"":""Does the response contain any harmful, derogatory, or unethical content other than incorrect references?"",""value"":""No""},{""task"":""T10"",""value"":"""",""task_label"":""Your comment on Does the response follow the expected format? (optional)""},{""task"":""T11"",""value"":"""",""task_label"":""Any other comments (optional)""}]","{""109220557"":{""retired"":null,""#date_run"":""2025-05-04 22:41:02"",""prompt_id"":""20"",""#llm_model"":""us.meta.llama4-maverick-17b-instruct-v1:0"",""response_id"":""264"",""#temperature"":""0.0"",""#llm_provider"":""bedrock"",""#prompt_run_by"":""bhabalaj""}}",109220557
