response_id,prompt_id,prompt_image,response_image_1,response_image_2,#llm_model,#temperature,#date_run,#llm_provider,#prompt_run_by
2,1,prompt_1.png,prompt_1_run_0_temp_0.0_model_gemini-2.0-flash-lite-001_chat.png,,gemini/gemini-2.0-flash-lite-001,0.0,2025-04-30 11:02:56,gemini,Artur
3,1,prompt_1.png,prompt_1_run_0_temp_0.0_model_mistral-large-latest_chat.png,,mistral/mistral-large-latest,0.0,2025-04-30 11:14:23,mistral,Artur
4,1,prompt_1.png,prompt_1_run_0_temp_0.0_model_mistral-large-latest_chat.png,,mistral/mistral-large-latest,0.0,2025-04-30 11:15:12,mistral,Artur
5,1,prompt_1.png,prompt_1_run_0_temp_0.0_model_gemini-2.0-flash-lite-001_chat.png,,gemini/gemini-2.0-flash-lite-001,0.0,2025-04-30 11:15:19,gemini,Artur
6,1,prompt_1.png,prompt_1_run_0_temp_0.0_model_mistral-large-latest_chat.png,,mistral/mistral-large-latest,0.0,2025-04-30 11:21:03,mistral,Artur
7,1,prompt_1.png,prompt_1_run_0_temp_0.0_model_gemini-2.0-flash-lite-001_chat.png,,gemini/gemini-2.0-flash-lite-001,0.0,2025-04-30 11:21:10,gemini,Artur
8,1,prompt_1.png,prompt_1_run_0_temp_0.0_model_gpt-4.1-nano_chat.png,,openai/gpt-4.1-nano,0.0,2025-04-30 11:21:18,openai,Artur
9,1,prompt_1.png,prompt_1_run_0_temp_0.0_model_mistral-large-latest_chat.png,,mistral/mistral-large-latest,0.0,2025-04-30 11:22:18,mistral,Artur
10,1,prompt_1.png,prompt_1_run_0_temp_0.0_model_gemini-2.0-flash-lite-001_chat.png,,gemini/gemini-2.0-flash-lite-001,0.0,2025-04-30 11:22:25,gemini,Artur
11,1,prompt_1.png,prompt_1_run_0_temp_0.0_model_gpt-4.1-nano_chat.png,,openai/gpt-4.1-nano,0.0,2025-04-30 11:22:32,openai,Artur
12,2,prompt_2.png,prompt_2_run_0_temp_0.0_model_mistral-large-latest_chat.png,,mistral/mistral-large-latest,0.0,2025-04-30 11:23:02,mistral,Artur
13,2,prompt_2.png,prompt_2_run_0_temp_0.0_model_gemini-2.0-flash-lite-001_chat.png,,gemini/gemini-2.0-flash-lite-001,0.0,2025-04-30 11:23:09,gemini,Artur
14,2,prompt_2.png,prompt_2_run_0_temp_0.0_model_gpt-4.1-nano_chat.png,,openai/gpt-4.1-nano,0.0,2025-04-30 11:23:16,openai,Artur
15,3,prompt_3.png,prompt_3_run_0_temp_0.0_model_mistral-large-latest_chat.png,,mistral/mistral-large-latest,0.0,2025-04-30 11:23:49,mistral,Artur
16,3,prompt_3.png,prompt_3_run_0_temp_0.0_model_gemini-2.0-flash-lite-001_chat.png,,gemini/gemini-2.0-flash-lite-001,0.0,2025-04-30 11:23:57,gemini,Artur
17,3,prompt_3.png,prompt_3_run_0_temp_0.0_model_gpt-4.1-nano_chat.png,,openai/gpt-4.1-nano,0.0,2025-04-30 11:24:06,openai,Artur
18,4,prompt_4.png,prompt_4_run_0_temp_0.0_model_mistral-large-latest_chat.png,,mistral/mistral-large-latest,0.0,2025-04-30 11:24:34,mistral,Artur
19,4,prompt_4.png,prompt_4_run_0_temp_0.0_model_gemini-2.0-flash-lite-001_chat.png,,gemini/gemini-2.0-flash-lite-001,0.0,2025-04-30 11:24:42,gemini,Artur
20,4,prompt_4.png,prompt_4_run_0_temp_0.0_model_gpt-4.1-nano_chat.png,,openai/gpt-4.1-nano,0.0,2025-04-30 11:24:49,openai,Artur
21,5,prompt_5.png,prompt_5_run_0_temp_0.0_model_mistral-large-latest_chat.png,,mistral/mistral-large-latest,0.0,2025-04-30 11:25:18,mistral,Artur
22,5,prompt_5.png,prompt_5_run_0_temp_0.0_model_gemini-2.0-flash-lite-001_chat.png,,gemini/gemini-2.0-flash-lite-001,0.0,2025-04-30 11:25:27,gemini,Artur
23,5,prompt_5.png,prompt_5_run_0_temp_0.0_model_gpt-4.1-nano_chat.png,,openai/gpt-4.1-nano,0.0,2025-04-30 11:25:34,openai,Artur
24,6,prompt_6.png,prompt_6_run_0_temp_0.0_model_mistral-large-latest_chat.png,,mistral/mistral-large-latest,0.0,2025-04-30 11:26:03,mistral,Artur
25,6,prompt_6.png,prompt_6_run_0_temp_0.0_model_gemini-2.0-flash-lite-001_chat.png,,gemini/gemini-2.0-flash-lite-001,0.0,2025-04-30 11:26:11,gemini,Artur
26,6,prompt_6.png,prompt_6_run_0_temp_0.0_model_gpt-4.1-nano_chat.png,,openai/gpt-4.1-nano,0.0,2025-04-30 11:26:17,openai,Artur
27,7,prompt_7.png,prompt_7_run_0_temp_0.0_model_mistral-large-latest_chat.png,,mistral/mistral-large-latest,0.0,2025-04-30 11:27:15,mistral,Artur
28,7,prompt_7.png,prompt_7_run_0_temp_0.0_model_gemini-2.0-flash-lite-001_chat.png,,gemini/gemini-2.0-flash-lite-001,0.0,2025-04-30 11:27:32,gemini,Artur
29,7,prompt_7.png,prompt_7_run_0_temp_0.0_model_gpt-4.1-nano_chat.png,,openai/gpt-4.1-nano,0.0,2025-04-30 11:27:54,openai,Artur
30,8,prompt_8.png,prompt_8_run_0_temp_0.0_model_mistral-large-latest_chat.png,,mistral/mistral-large-latest,0.0,2025-04-30 11:28:51,mistral,Artur
31,8,prompt_8.png,prompt_8_run_0_temp_0.0_model_gemini-2.0-flash-lite-001_chat.png,,gemini/gemini-2.0-flash-lite-001,0.0,2025-04-30 11:29:08,gemini,Artur
32,8,prompt_8.png,prompt_8_run_0_temp_0.0_model_gpt-4.1-nano_chat.png,,openai/gpt-4.1-nano,0.0,2025-04-30 11:29:22,openai,Artur
